,,,,,,,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값
작업장,일자,지종,평량,달력연도,달력월,시간|항목,BLADE_시간,BP평량,거칠음도_B,거칠음도_T,도공량_THERMAL,도공량_UNDER,동적발색도_EPSON,동적발색_0.8msec,동적발색_1.28msec,두께,백감도,백색도,불투명도,색상_a,색상_b,색상_L,선압,선압,속도,인열강도_MD,인장강도_MD,정적발색_110℃,정적발색_70℃,지합,투기도,평량,평활도_B,평활도_T,회분(배부)
CM22 코타와인더,2025.04.22,한솔감열지SF 장항,48,2025,4,1433,1.00,36.50,4.91,2.27,3.16,7.32,3.40,2.12,2.39,57.50,99.00,92.70,86.40,-0.54,0.89,93.80,147.00,97.00,"1,150.00",,,1.42,0.17,,,48.20,191.00,629.00,
CM22 코타와인더,2025.04.22,한솔감열지SF 장항,48,2025,4,1150,1.30,36.50,4.69,2.27,3.16,7.65,3.40,2.12,2.40,56.50,99.50,92.70,86.50,-0.51,0.87,93.80,147.00,97.00,"1,250.00",,,1.36,0.17,,,48.20,185.00,561.00,
CM22 코타와인더,2025.04.22,한솔감열지SF 장항,48,2025,4,1711,3.30,36.20,5.30,2.34,3.14,7.20,3.37,2.12,2.38,56.90,99.01,92.20,86.99,-0.59,0.88,93.63,147.00,97.00,"1,300.00",,,1.36,0.17,,,47.90,183.00,553.00,
CM22 코타와인더,2025.04.25,한솔감열지SF 장항,48,2025,4,0418,9.20,36.00,5.37,2.54,3.16,6.24,3.35,2.13,2.38,57.30,99.60,92.00,85.20,-0.53,0.91,93.50,146.00,96.00,"1,300.00",,,1.43,0.17,,,47.70,170.00,503.00,
CM22 코타와인더,2025.04.27,한솔감열지SF 장항,48,2025,4,1039,4.40,36.50,5.24,2.57,3.14,6.77,3.33,2.11,2.38,56.80,99.14,92.46,85.32,-0.56,1.12,93.88,145.00,95.00,"1,300.00",,,1.36,0.16,,,46.90,169.00,453.00,
CM22 코타와인더,2025.04.30,한솔감열지SF 장항,48,2025,4,1515,9.60,36.20,5.09,2.69,3.20,6.84,3.37,2.09,2.41,56.10,99.00,91.80,85.50,-0.57,,93.50,147.00,97.00,"1,300.00",,,1.47,0.17,,,47.30,172.00,490.00,
CM22 코타와인더,2025.04.30,한솔감열지SF 장항,48,2025,4,1743,12.10,36.30,5.06,2.52,3.20,6.87,3.37,2.12,2.40,56.50,99.20,92.20,85.60,-0.55,0.98,93.60,147.00,97.00,"1,300.00",,,1.47,0.18,,,47.30,187.00,541.00,
CM22 코타와인더,2025.04.30,한솔감열지SF 장항,48,2025,4,2105,15.10,36.50,4.97,2.58,3.18,6.70,3.36,2.14,2.40,56.10,97.60,91.10,87.50,-0.62,0.94,93.10,147.00,97.00,"1,200.00",,,0.10,0.05,,,47.50,186.00,528.00,
CM22 코타와인더,2025.05.01,한솔감열지SF 장항,48,2025,5,0106,1.40,36.50,5.24,2.45,3.18,6.73,3.39,2.15,2.43,56.00,98.50,92.00,85.50,-0.54,0.96,93.60,147.00,97.00,"1,270.00",,,0.10,0.05,,,47.20,187.00,550.00,
CM22 코타와인더,2025.05.01,한솔감열지SF 장항,48,2025,5,0413,5.00,36.50,5.12,2.52,3.16,6.45,3.37,2.10,2.39,57.10,98.90,92.00,85.50,-0.52,0.93,93.60,147.00,97.00,"1,300.00",,,0.10,0.05,,,46.90,178.00,520.00,
CM22 코타와인더,2025.05.01,한솔감열지SF 장항,48,2025,5,0901,0.70,36.30,4.93,2.37,3.14,7.01,3.39,2.19,2.40,56.30,99.00,91.90,85.70,-0.57,0.89,93.50,147.00,97.00,"1,200.00",,,1.44,0.18,,,47.70,185.00,564.00,
CM22 코타와인더,2025.05.01,한솔감열지SF 장항,48,2025,5,1330,3.00,36.30,5.07,2.37,3.12,6.72,3.39,2.08,2.37,56.00,98.20,91.30,86.60,-0.65,0.89,93.30,147.00,97.00,"1,300.00",,,1.45,0.18,,,47.50,182.00,567.00,
CM22 코타와인더,2025.05.01,한솔감열지SF 장항,48,2025,5,1636,5.20,36.00,4.98,2.54,3.12,6.53,3.36,2.10,2.38,56.40,98.80,91.50,85.90,-0.62,0.88,93.40,147.00,97.00,"1,300.00",,,1.44,0.18,,,47.60,186.00,511.00,
CM22 코타와인더,2025.05.01,한솔감열지SF 장항,48,2025,5,2033,9.50,36.00,4.94,2.46,3.15,6.54,3.36,2.09,2.39,55.90,99.10,91.70,85.80,-0.62,0.92,93.40,147.00,97.00,"1,300.00",,,1.45,0.18,,,47.50,182.00,560.00,
CM22 코타와인더,2025.05.02,한솔감열지SF 장항,48,2025,5,0158,15.10,36.40,5.05,2.61,3.18,6.55,3.37,2.11,2.40,56.20,99.60,92.14,85.44,-0.54,0.96,93.78,147.00,97.00,"1,300.00",,,1.47,0.17,,,47.10,181.00,458.00,
CM22 코타와인더,2025.05.02,한솔감열지SF 장항,48,2025,5,0505,18.20,36.50,5.12,2.61,3.16,6.46,3.38,2.11,2.39,56.30,99.74,92.20,85.84,-0.55,0.93,93.75,147.00,97.00,"1,300.00",,,1.46,0.16,,,47.10,176.00,477.00,
CM22 코타와인더,2025.05.02,한솔감열지SF 장항,48,2025,5,2127,3.40,36.00,5.05,2.47,3.16,6.60,3.37,2.13,2.41,56.10,100.50,92.10,85.50,-0.56,0.87,93.50,147.00,97.00,"1,300.00",,,1.45,0.18,,,47.00,183.00,486.00,
CM22 코타와인더,2025.05.03,한솔감열지SF 장항,48,2025,5,0118,7.30,36.20,5.00,2.66,3.12,6.63,3.35,2.09,2.37,56.20,99.90,91.93,85.92,-0.51,0.82,93.37,144.00,94.00,"1,300.00",,,1.44,0.17,,,47.00,182.00,477.00,
CM22 코타와인더,2025.05.03,한솔감열지SF 장항,48,2025,5,0422,10.30,36.30,5.12,2.67,3.14,6.60,3.34,2.09,2.38,56.50,100.05,91.70,86.33,-0.51,0.80,93.31,144.00,94.00,"1,300.00",,,1.44,0.17,,,47.00,182.00,481.00,
CM22 코타와인더,2025.05.03,한솔감열지SF 장항,48,2025,5,0904,15.30,36.30,4.95,2.52,215.00,6.75,3.37,2.13,2.40,56.80,100.50,92.40,85.70,-0.55,0.87,93.60,144.00,94.00,"1,300.00",,,1.44,0.17,,,47.10,190.00,520.00,
CM22 코타와인더,2025.05.03,한솔감열지SF 장항,48,2025,5,1207,18.50,36.30,5.10,2.55,3.12,6.97,3.35,2.13,2.38,56.20,100.20,92.30,86.00,-0.54,0.85,93.60,144.00,94.00,"1,300.00",,,1.47,0.17,,,47.00,182.00,490.00,
CM22 코타와인더,2025.05.03,한솔감열지SF 장항,48,2025,5,1643,3.10,36.50,4.99,2.41,3.12,6.64,3.38,2.17,2.39,56.40,100.00,92.20,86.30,-0.58,0.87,93.60,144.00,94.00,"1,300.00",,,1.45,0.18,,,47.40,185.00,539.00,
CM22 코타와인더,2025.05.03,한솔감열지SF 장항,48,2025,5,2002,6.20,36.50,4.92,2.44,3.10,6.34,3.37,2.07,2.39,55.90,101.10,92.20,85.10,-0.55,0.82,93.50,144.00,94.00,"1,300.00",,,1.50,0.18,,,46.90,183.00,512.00,
CM22 코타와인더,2025.05.04,한솔감열지SF 장항,48,2025,5,0531,5.20,36.50,4.91,2.43,3.10,6.98,3.39,2.17,2.40,56.80,99.79,92.02,86.34,-0.57,0.87,93.51,144.00,94.00,"1,300.00",,,1.42,0.17,,,47.60,189.00,523.00,
CM22 코타와인더,2025.05.04,한솔감열지SF 장항,48,2025,5,0233,2.20,36.50,5.06,2.48,3.10,6.90,3.39,2.14,2.38,56.60,100.41,92.73,86.37,-0.52,0.88,93.82,144.00,94.00,"1,300.00",,,1.43,0.17,,,47.50,176.00,500.00,
CM22 코타와인더,2025.05.04,한솔감열지SF 장항,48,2025,5,0828,8.30,36.50,5.05,2.49,3.08,6.85,3.35,2.10,2.38,56.90,99.80,92.40,86.10,-0.54,0.89,93.60,144.00,94.00,"1,300.00",,,1.44,0.17,,,47.30,177.00,491.00,
CM22 코타와인더,2025.05.04,한솔감열지SF 장항,48,2025,5,1625,16.00,36.50,5.10,2.61,3.06,6.90,3.37,2.12,2.39,56.50,99.50,92.50,86.20,-0.53,0.93,93.70,144.00,94.00,"1,300.00",,,1.45,0.17,,,47.00,179.00,494.00,
CM22 코타와인더,2025.05.04,한솔감열지SF 장항,48,2025,5,1320,13.10,36.50,5.04,2.55,3.06,7.18,3.37,2.14,2.37,56.90,100.00,92.70,85.50,-0.52,0.94,93.80,144.00,94.00,"1,300.00",,,1.46,0.17,,,47.00,174.00,490.00,
PM23 초지릴,2025.01.10,한솔감열지SF 장항,48,2025,1,1003,,,5.91,5.37,,,,,,52.00,98.30,93.50,66.00,-0.23,2.28,96.10,80.00,30.00,"1,080.00",107.00,73.00,,,57.00,150.00,37.90,153.00,170.00,12.00
PM23 초지릴,2025.01.10,한솔감열지SF 장항,48,2025,1,1302,,,5.85,5.19,,,,,,52.30,88.40,93.00,66.50,-0.37,2.77,96.10,80.00,30.00,"1,130.00",125.00,75.00,,,60.00,230.00,38.40,153.00,171.00,
PM23 초지릴,2025.01.10,한솔감열지SF 장항,48,2025,1,1603,,,5.70,5.43,,,,,,52.60,93.74,93.66,68.79,-0.31,2.48,96.01,80.00,30.00,"1,130.00",135.00,70.00,,,60.00,214.00,38.40,152.00,172.00,12.40
PM23 초지릴,2025.01.10,한솔감열지SF 장항,48,2025,1,1942,,,5.62,5.24,,,,,,52.90,95.26,93.93,68.33,-0.23,2.33,96.02,80.00,30.00,"1,130.00",135.00,72.00,,,61.00,216.00,38.70,152.00,168.00,
PM23 초지릴,2025.01.11,한솔감열지SF 장항,48,2025,1,0051,,,5.89,5.42,,,,,,52.80,93.00,93.40,68.30,-0.34,2.63,96.00,80.00,30.00,"1,130.00",121.00,70.00,,,62.00,285.00,38.90,153.00,164.00,12.20
PM23 초지릴,2025.01.11,한솔감열지SF 장항,48,2025,1,0417,,,5.63,5.42,,,,,,52.80,91.20,93.30,68.50,-0.41,2.70,96.10,80.00,30.00,"1,130.00",139.00,70.00,,,62.00,272.00,38.20,157.00,168.00,
PM23 초지릴,2025.01.11,한솔감열지SF 장항,48,2025,1,0928,,,5.62,5.23,,,,,,52.90,91.30,93.40,68.70,-0.35,2.60,96.00,80.00,30.00,"1,130.00",125.00,68.00,,,65.00,234.00,38.80,160.00,170.00,13.30
PM23 초지릴,2025.01.11,한솔감열지SF 장항,48,2025,1,1254,,,5.92,5.26,,,,,,53.30,90.90,93.30,69.50,-0.44,2.57,96.00,80.00,30.00,"1,130.00",143.00,68.00,,,67.00,307.00,39.40,150.00,163.00,
PM23 초지릴,2025.01.11,한솔감열지SF 장항,48,2025,1,1619,,,5.79,5.30,,,,,,52.80,91.70,93.69,69.09,-0.38,2.54,96.20,80.00,30.00,"1,130.00",146.00,69.00,,,61.00,290.00,38.40,151.00,169.00,13.50
PM23 초지릴,2025.01.11,한솔감열지SF 장항,48,2025,1,1945,,,5.88,5.46,,,,,,52.70,90.51,93.52,69.10,-0.39,2.66,96.24,80.00,30.00,"1,130.00",146.00,68.00,,,62.00,315.00,38.30,151.00,168.00,
PM23 초지릴,2025.01.12,한솔감열지SF 장항,48,2025,1,0054,,,5.69,5.15,,,,,,52.00,90.80,93.40,69.90,-0.44,2.62,96.10,80.00,30.00,"1,130.00",143.00,67.00,,,63.00,330.00,38.20,160.00,177.00,13.10
PM23 초지릴,2025.01.12,한솔감열지SF 장항,48,2025,1,0419,,,5.68,5.24,,,,,,53.40,90.90,93.40,69.90,-0.58,2.63,96.20,80.00,30.00,"1,130.00",153.00,68.00,,,62.00,362.00,39.20,158.00,174.00,
PM23 초지릴,2025.01.12,한솔감열지SF 장항,48,2025,1,0928,,,5.51,5.35,,,,,,52.90,91.20,93.40,69.50,-0.37,2.54,96.10,80.00,30.00,"1,130.00",150.00,68.00,,,62.00,376.00,38.70,160.00,174.00,13.10
PM23 초지릴,2025.01.12,한솔감열지SF 장항,48,2025,1,2107,,,5.70,5.28,,,,,,52.80,92.45,93.97,67.14,-0.42,2.77,96.39,80.00,30.00,"1,103.00",139.00,72.00,,,62.00,264.00,38.60,156.00,176.00,11.20
PM23 초지릴,2025.01.13,한솔감열지SF 장항,48,2025,1,0011,,,5.75,5.30,,,,,,53.90,93.50,94.00,70.40,-0.38,2.60,96.30,80.00,30.00,"1,130.00",143.00,70.00,,,60.00,334.00,39.30,157.00,172.00,12.20
PM23 초지릴,2025.01.13,한솔감열지SF 장항,48,2025,1,0529,,,5.86,5.18,,,,,,53.80,90.60,93.40,70.70,-0.43,2.72,96.20,80.00,30.00,"1,130.00",146.00,67.00,,,62.00,280.00,39.00,156.00,168.00,
PM23 초지릴,2025.01.20,한솔감열지SF 장항,48,2025,1,1852,,,5.81,5.23,,,,,,53.20,92.50,93.30,71.90,-0.29,2.49,95.90,80.00,30.00,"1,116.00",164.00,65.00,,,62.00,345.00,38.70,153.00,169.00,14.00
PM23 초지릴,2025.01.20,한솔감열지SF 장항,48,2025,1,2036,,,5.50,5.15,,,,,,53.70,93.20,93.50,71.10,-0.30,2.42,96.00,80.00,30.00,"1,116.00",135.00,65.00,,,62.00,335.00,38.60,155.00,173.00,
PM23 초지릴,2025.01.21,한솔감열지SF 장항,48,2025,1,0128,,,5.68,5.17,,,,,,53.10,94.30,93.80,68.70,-0.30,2.37,96.00,80.00,30.00,"1,110.00",146.00,66.00,,,66.00,281.00,38.70,150.00,173.00,12.40
PM23 초지릴,2025.01.21,한솔감열지SF 장항,48,2025,1,0353,,,5.72,5.19,,,,,,53.30,94.70,93.90,70.20,-0.29,2.31,96.00,80.00,30.00,"1,115.00",153.00,69.00,,,62.00,276.00,38.80,153.00,169.00,
PM23 초지릴,2025.01.21,한솔감열지SF 장항,48,2025,1,0937,,,5.75,5.28,,,,,,52.80,89.00,93.20,68.50,-0.35,2.67,96.10,80.00,30.00,"1,116.00",117.00,67.00,,,63.00,272.00,38.40,151.00,162.00,12.40
PM23 초지릴,2025.01.21,한솔감열지SF 장항,48,2025,1,1305,,,5.95,5.26,,,,,,53.10,91.70,93.40,88.50,-0.33,2.58,96.10,80.00,30.00,"1,116.00",146.00,70.00,,,63.00,301.00,38.60,155.00,165.00,
PM23 초지릴,2025.01.21,한솔감열지SF 장항,48,2025,1,1633,,,5.80,5.19,,,,,,54.90,91.60,93.10,68.90,-0.36,2.60,95.90,80.00,30.00,"1,116.00",164.00,64.00,,,62.00,279.00,39.40,156.00,174.00,12.20
PM23 초지릴,2025.01.21,한솔감열지SF 장항,48,2025,1,1817,,,5.96,5.16,,,,,,53.90,92.70,93.30,70.30,-0.35,2.48,95.90,80.00,30.00,"1,116.00",143.00,66.00,,,63.00,293.00,39.50,152.00,169.00,
PM23 초지릴,2025.01.21,한솔감열지SF 장항,48,2025,1,2145,,,5.51,5.09,,,,,,53.70,92.30,93.70,69.20,-0.32,2.52,96.20,80.00,30.00,"1,116.00",168.00,66.00,,,64.00,287.00,38.90,161.00,179.00,
PM23 초지릴,2025.01.22,한솔감열지SF 장항,48,2025,1,0113,,,5.60,5.26,,,,,,52.90,91.06,93.63,70.65,-0.35,2.59,96.21,80.00,30.00,"1,116.00",146.00,68.00,,,65.00,335.00,38.80,151.00,172.00,13.10
PM23 초지릴,2025.01.22,한솔감열지SF 장항,48,2025,1,0441,,,5.75,5.21,,,,,,53.10,91.46,93.64,69.78,-0.34,2.56,96.19,80.00,30.00,"1,116.00",150.00,67.00,,,61.00,338.00,38.70,150.00,168.00,
PM23 초지릴,2025.01.22,한솔감열지SF 장항,48,2025,1,0809,,,5.66,5.22,,,,,,53.10,88.30,5.00,84.30,96.50,-0.39,69.00,80.00,30.00,"1,116.00",143.00,69.00,,,61.00,239.00,38.60,152.00,169.00,13.00
PM23 초지릴,2025.01.30,한솔감열지SF 장항,48,2025,1,0130,,,5.96,5.30,,,,,,52.70,92.50,93.70,70.30,-0.33,2.41,96.10,80.00,30.00,"1,114.00",117.00,69.00,,,58.00,296.00,38.90,155.00,172.00,13.90
PM23 초지릴,2025.01.30,한솔감열지SF 장항,48,2025,1,0500,,,6.09,5.46,,,,,,53.10,92.00,93.60,67.90,-0.35,2.44,96.10,80.00,30.00,"1,114.00",96.00,74.00,,,61.00,249.00,39.00,151.00,166.00,
PM23 초지릴,2025.01.30,한솔감열지SF 장항,48,2025,1,0904,,,6.10,5.29,,,,,,53.20,91.60,93.50,67.60,-0.40,2.47,96.00,80.00,30.00,"1,090.00",113.00,72.00,,,61.00,241.00,39.30,149.00,166.00,13.20
PM23 초지릴,2025.01.30,한솔감열지SF 장항,48,2025,1,1235,,,5.91,5.42,,,,,,52.80,89.60,93.20,66.90,-0.41,2.72,96.10,80.00,30.00,"1,110.00",109.00,71.00,,,59.00,200.00,38.90,146.00,165.00,
PM23 초지릴,2025.01.30,한솔감열지SF 장항,48,2025,1,1604,,,5.92,5.34,,,,,,52.90,90.75,93.53,66.87,-0.46,2.64,96.13,80.00,30.00,"1,116.00",128.00,69.00,,,59.00,225.00,38.90,147.00,169.00,11.60
PM23 초지릴,2025.01.30,한솔감열지SF 장항,48,2025,1,2019,,,6.06,5.68,,,,,,53.00,89.64,93.34,67.45,-0.46,2.82,96.18,80.00,30.00,"1,100.00",135.00,71.00,,,58.00,203.00,39.10,150.00,174.00,
PM23 초지릴,2025.01.31,한솔감열지SF 장항,48,2025,1,0512,,,6.21,5.56,,,,,,52.70,91.30,93.70,65.40,-0.54,3.05,96.30,80.00,30.00,"1,091.00",117.00,76.00,,,64.00,158.00,38.90,141.00,162.00,
PM23 초지릴,2025.01.31,한솔감열지SF 장항,48,2025,1,0841,,,5.94,5.40,,,,,,52.90,92.30,93.60,66.10,-0.36,2.63,96.00,80.00,30.00,"1,115.00",130.00,71.00,,,58.00,174.00,39.30,149.00,166.00,13.10
PM23 초지릴,2025.01.31,한솔감열지SF 장항,48,2025,1,1348,,,6.06,5.37,,,,,,52.70,92.40,93.60,66.40,-0.38,2.59,96.00,80.00,30.00,"1,115.00",114.00,75.00,,,63.00,181.00,38.90,144.00,165.00,
PM23 초지릴,2025.01.31,한솔감열지SF 장항,48,2025,1,1716,,,6.10,5.25,,,,,,53.20,93.18,92.89,67.61,-0.41,2.22,95.51,80.00,30.00,"1,115.00",136.00,71.00,,,61.00,183.00,39.10,143.00,166.00,11.60
PM23 초지릴,2025.01.31,한솔감열지SF 장항,48,2025,1,2044,,,6.12,5.51,,,,,,53.30,92.20,93.79,83.65,-0.48,2.82,96.22,80.00,30.00,"1,115.00",117.00,73.00,,,58.00,189.00,39.30,147.00,163.00,
PM23 초지릴,2025.02.01,한솔감열지SF 장항,48,2025,2,0013,,,5.93,5.28,,,,,,53.40,91.60,93.70,68.00,-0.44,2.69,96.20,80.00,30.00,"1,115.00",143.00,68.00,,,63.00,182.00,39.30,153.00,169.00,11.60
PM23 초지릴,2025.02.01,한솔감열지SF 장항,48,2025,2,0525,,,5.89,5.09,,,,,,53.60,91.30,93.40,68.30,-0.43,2.71,96.10,80.00,30.00,"1,115.00",128.00,69.00,,,63.00,175.00,39.50,149.00,168.00,11.80
PM23 초지릴,2025.02.01,한솔감열지SF 장항,48,2025,2,0853,,,5.97,5.24,,,,,,52.50,91.80,93.60,66.70,-0.39,2.61,96.10,80.00,30.00,"1,115.00",143.00,73.00,,,61.00,216.00,38.70,145.00,166.00,12.00
PM23 초지릴,2025.02.01,한솔감열지SF 장항,48,2025,2,1222,,,5.80,5.27,,,,,,52.70,90.20,93.10,67.80,-0.48,2.82,96.00,80.00,30.00,"1,115.00",140.00,70.00,,,60.00,246.00,38.70,160.00,174.00,
PM23 초지릴,2025.02.01,한솔감열지SF 장항,48,2025,2,1734,,,5.66,5.28,,,,,,52.90,89.30,93.00,69.52,-0.44,2.89,96.05,80.00,30.00,"1,115.00",143.00,69.00,,,57.00,284.00,39.00,153.00,168.00,11.90
PM23 초지릴,2025.02.01,한솔감열지SF 장항,48,2025,2,2200,,,5.79,5.25,,,,,,53.30,92.81,93.49,68.65,-0.39,2.69,96.02,80.00,30.00,"1,115.00",125.00,72.00,,,57.00,274.00,38.90,157.00,173.00,
PM23 초지릴,2025.02.02,한솔감열지SF 장항,48,2025,2,0050,,,5.82,5.32,,,,,,53.50,92.20,93.40,69.10,-0.39,2.77,96.10,80.00,30.00,"1,115.00",121.00,67.00,,,59.00,292.00,39.10,156.00,169.00,12.30
PM23 초지릴,2025.02.02,한솔감열지SF 장항,48,2025,2,0414,,,5.68,5.34,,,,,,54.20,92.50,93.40,69.80,-0.40,2.69,95.90,80.00,30.00,"1,115.00",143.00,69.00,,,59.00,318.00,39.60,155.00,165.00,
PM23 초지릴,2025.02.07,한솔감열지SF 장항,48,2025,2,1403,,,1.00,1.00,,,,,,53.00,,5.00,,,,,80.00,30.00,"1,130.00",20.00,20.00,,,20.00,20.00,38.90,100.00,100.00,
PM23 초지릴,2025.02.07,한솔감열지SF 장항,48,2025,2,1728,,,5.70,5.29,,,,,,54.70,97.40,93.80,69.10,-0.33,2.25,95.80,80.00,30.00,"1,130.00",121.00,71.00,,,63.00,299.00,39.50,149.00,164.00,13.20
PM23 초지릴,2025.02.08,한솔감열지SF 장항,48,2025,2,0139,,,5.74,5.28,,,,,,52.90,98.40,93.70,67.00,-0.26,2.36,95.70,80.00,30.00,"1,120.00",121.00,76.00,,,56.00,225.00,38.60,152.00,161.00,13.00
PM23 초지릴,2025.02.08,한솔감열지SF 장항,48,2025,2,0422,,,5.49,4.91,,,,,,53.20,97.60,93.80,67.80,-0.33,2.37,95.80,80.00,30.00,"1,120.00",121.00,71.00,,,59.00,285.00,39.30,161.00,172.00,
